symbol,secType,exchange,currency
AAPL,STK,NASDAQ,USD
ABNB,STK,NASDAQ,USD
ADBE,STK,NASDAQ,USD
ADI,STK,NASDAQ,USD
ADP,STK,NASDAQ,USD
ADSK,STK,NASDAQ,USD
AEP,STK,NASDAQ,USD
AMAT,STK,NASDAQ,USD
AMD,STK,NASDAQ,USD
AMGN,STK,NASDAQ,USD
AMZN,STK,NASDAQ,USD
ANSS,STK,NASDAQ,USD
APP,STK,NASDAQ,USD
ARM,STK,NASDAQ,USD
ASML,STK,NASDAQ,USD
AVGO,STK,NASDAQ,USD
AXON,STK,NASDAQ,USD
AZN,STK,NASDAQ,USD
BIIB,STK,NASDAQ,USD
BKR,STK,NASDAQ,USD
BKNG,STK,NASDAQ,USD
CDNS,STK,NASDAQ,USD
CDW,STK,NASDAQ,USD
CEG,STK,NASDAQ,USD
CCEP,STK,NASDAQ,USD
CHTR,STK,NASDAQ,USD
CMCSA,STK,NASDAQ,USD
COST,STK,NASDAQ,USD
CPRT,STK,NASDAQ,USD
CRWD,STK,NASDAQ,USD
CSCO,STK,NASDAQ,USD
CSGP,STK,NASDAQ,USD
CSX,STK,NASDAQ,USD
CTAS,STK,NASDAQ,USD
CTSH,STK,NASDAQ,USD
DASH,STK,NASDAQ,USD
DDOG,STK,NASDAQ,USD
DXCM,STK,NASDAQ,USD
EA,STK,NASDAQ,USD
EXC,STK,NASDAQ,USD
FAST,STK,NASDAQ,USD
FANG,STK,NASDAQ,USD
FTNT,STK,NASDAQ,USD
GEHC,STK,NASDAQ,USD
GFS,STK,NASDAQ,USD
GILD,STK,NASDAQ,USD
GOOG,STK,NASDAQ,USD
GOOGL,STK,NASDAQ,USD
HON,STK,NASDAQ,USD
IDXX,STK,NASDAQ,USD
INTC,STK,NASDAQ,USD
INTU,STK,NASDAQ,USD
ISRG,STK,NASDAQ,USD
KDP,STK,NASDAQ,USD
KHC,STK,NASDAQ,USD
KLAC,STK,NASDAQ,USD
LIN,STK,NASDAQ,USD
LRCX,STK,NASDAQ,USD
LULU,STK,NASDAQ,USD
MAR,STK,NASDAQ,USD
MCHP,STK,NASDAQ,USD
MDB,STK,NASDAQ,USD
MDLZ,STK,NASDAQ,USD
MELI,STK,NASDAQ,USD
META,STK,NASDAQ,USD
MNST,STK,NASDAQ,USD
MRVL,STK,NASDAQ,USD
MSFT,STK,NASDAQ,USD
MSTR,STK,NASDAQ,USD
MU,STK,NASDAQ,USD
NFLX,STK,NASDAQ,USD
NXPI,STK,NASDAQ,USD
NVDA,STK,NASDAQ,USD
ODFL,STK,NASDAQ,USD
ON,STK,NASDAQ,USD
ORLY,STK,NASDAQ,USD
PANW,STK,NASDAQ,USD
PAYX,STK,NASDAQ,USD
PCAR,STK,NASDAQ,USD
PDD,STK,NASDAQ,USD
PEP,STK,NASDAQ,USD
PLTR,STK,NASDAQ,USD
PYPL,STK,NASDAQ,USD
QCOM,STK,NASDAQ,USD
REGN,STK,NASDAQ,USD
ROP,STK,NASDAQ,USD
ROST,STK,NASDAQ,USD
SBUX,STK,NASDAQ,USD
SNPS,STK,NASDAQ,USD
TEAM,STK,NASDAQ,USD
TMUS,STK,NASDAQ,USD
TSLA,STK,NASDAQ,USD
TTD,STK,NASDAQ,USD
TTWO,STK,NASDAQ,USD
TXN,STK,NASDAQ,USD
VRSK,STK,NASDAQ,USD
VRTX,STK,NASDAQ,USD
WBD,STK,NASDAQ,USD
WDAY,STK,NASDAQ,USD
XEL,STK,NASDAQ,USD
ZS,STK,NASDAQ,USD